video_id,viewCount,likeCount,dislikeCount,comment,neg,neu,pos,compound
GuibyrVDkvA,10226,531,0,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0.218,0.345,0.437,0.9909
GuibyrVDkvA,10226,531,0,❤ ஓம் முருகா போற்றி போற்றி நீரே என்றென்றும் எல்லோருக்கும் வழி தூனையாக இருக்கும் 🎉,0.0,0.635,0.365,0.7845000000000001
GuibyrVDkvA,10226,531,0,🚩ஓம் 🐔முருகா 🦚🚩,0.0,1.0,0.0,0.0
dQQYwFSLmrY,133,12,0,Super ❤❤❤👌👌👌,0.0,0.079,0.921,0.9881
dQQYwFSLmrY,133,12,0,Nice 😊,0.0,0.254,0.746,0.8316
dQQYwFSLmrY,133,12,0,👌👌👌👌,0.0,0.0,1.0,0.9736
dQQYwFSLmrY,133,12,0,👌👌👌,0.0,0.0,1.0,0.9545
dQQYwFSLmrY,133,12,0,Superb Anand. Why don't you pursue this,0.0,0.594,0.406,0.6249
dQQYwFSLmrY,133,12,0,ennai ungal rasigar aakiviteergal anna❤,0.0,0.588,0.412,0.6369
YzH7-heURM8,472,13,0,🤣🤣🤣🤣🤣🤣🤣🤣👌👌👌👌👌👍👍👍👍👍👍🌹,0.0,0.444,0.556,0.9949
bUjWDkWKJzM,1056,16,0,👍👍👍👍👌👌👌👌,0.0,0.246,0.754,0.9736
bUjWDkWKJzM,1056,16,0,🎉,0.0,0.27,0.73,0.4019
bUjWDkWKJzM,1056,16,0,🎉🎉🎉🎉 அருமை சகோதரி🎉🎉🎉,0.0,0.323,0.677,0.9509
bUjWDkWKJzM,1056,16,0,அருமை 👍,0.0,1.0,0.0,0.0
-ee96M0nqJ0,407,14,0,👌👌👌,0.0,0.0,1.0,0.9545
-ee96M0nqJ0,407,14,0,சூப்பர் வாய்ஸ் சூப்பர் என்ன கண்டினியூ நல்லா வீடியோ போடுங்க,0.0,1.0,0.0,0.0
-ee96M0nqJ0,407,14,0,👍👍👍🌹🌹🌹 சூப்பரான பாடல்🌹🌹🌹👍🌹👍,0.0,1.0,0.0,0.0
-ee96M0nqJ0,407,14,0,Keep singing Anand,0.0,1.0,0.0,0.0
-ee96M0nqJ0,407,14,0,Nice anna ❤❤❤❤❤,0.0,0.201,0.799,0.9771
-ee96M0nqJ0,407,14,0,👌👌 அருமை அண்ணா👌👌,0.0,0.075,0.925,0.9736
-ee96M0nqJ0,407,14,0,❤❤❤,0.0,0.192,0.808,0.9274
qiHVsfIIuvo,145,5,0,சமையல் எல்லாம் முடிஞ்சா,0.0,1.0,0.0,0.0
qiHVsfIIuvo,145,5,0,அழகாக இருக்கீங்க,0.0,1.0,0.0,0.0
qmn5KV4TGQI,209,6,0,,,,,
4ohZoB2ZYnI,614,21,0,😂😂😂😂,0.218,0.345,0.437,0.891
4ohZoB2ZYnI,614,21,0,😂😂😂😂😂,0.218,0.345,0.437,0.926
4ohZoB2ZYnI,614,21,0,😂😂😂😂❤,0.19,0.325,0.485,0.9413
4ohZoB2ZYnI,614,21,0,🎉🎉🎉,0.0,0.27,0.73,0.7964
4ohZoB2ZYnI,614,21,0,🤣🤣🤣🤣🤣🤣,0.0,0.556,0.444,0.9595
8W-M324B5TE,430,19,0,Very nice🎉,0.0,0.248,0.752,0.7245
8W-M324B5TE,430,19,0,👌👌👌👌🎉🎉🎉,0.0,0.084,0.916,0.9843
8W-M324B5TE,430,19,0,Super👌,0.0,0.0,1.0,0.876
8W-M324B5TE,430,19,0,அருமை அருமை 👌🎉🎉🎉🎉,0.0,0.262,0.738,0.9426
8W-M324B5TE,430,19,0,💐💐❤️👍👍💫👌,0.119,0.499,0.383,0.6408
8W-M324B5TE,430,19,0,அருமை இனிமையான குர🎉🎉🎉🎉,0.0,0.393,0.607,0.8689
8W-M324B5TE,430,19,0,unga uir koduthu paadum padal migaum arumai nandri anna❤❤❤❤,0.0,0.436,0.5640000000000001,0.9571
tpz9CnN3HXU,501,15,0,👍👍👍,0.0,1.0,0.0,0.0
tpz9CnN3HXU,501,15,0,👍,0.0,1.0,0.0,0.0
tpz9CnN3HXU,501,15,0,👏👏👏,0.0,1.0,0.0,0.0
WL6nhzLAiHI,109,8,0,😋😋😋,0.0,1.0,0.0,0.0
WL6nhzLAiHI,109,8,0,😋😋😋😋😋,0.0,1.0,0.0,0.0
WL6nhzLAiHI,109,8,0,yum yum yum̓̓😛,0.0,1.0,0.0,0.0
WL6nhzLAiHI,109,8,0,சூப்பர் மா 🎉❤,0.0,0.367,0.633,0.7845000000000001
Q4B1s4E7080,1480,114,0,❤❤❤❤❤❤❤,0.0,0.192,0.808,0.9854
Q4B1s4E7080,1480,114,0,❤❤❤❤❤,0.0,0.192,0.808,0.9719
Q4B1s4E7080,1480,114,0,❤❤❤❤❤❤🎉🎉🎉🎉,0.0,0.217,0.783,0.9891
XrwyXH-v-pE,51,8,0,,,,,
Ax-S-6yhMIg,484,17,0,🎉🎉🎉🎉🎉🎉🎉🎉🎉,0.0,0.27,0.73,0.9694
OjyaxvAoPjc,8721,467,0,❤❤❤❤❤❤❤,0.0,0.192,0.808,0.9854
rwd-1mcJsKk,606,10,0,சூப்பர் சூப்பர் 😋,0.0,1.0,0.0,0.0
QSzi-n5YDIQ,445,19,0,👍👍👍👍👍,0.0,1.0,0.0,0.0
QSzi-n5YDIQ,445,19,0,👍👍👍,0.0,1.0,0.0,0.0
1lzesoShhok,421,15,0,நமக்கு ஒரு நேரம் வரும் 👍,0.0,1.0,0.0,0.0
1lzesoShhok,421,15,0,😂😂😂,0.218,0.345,0.437,0.8271000000000001
sDRuk5N-3PM,442,12,0,Super,0.0,0.0,1.0,0.5994
sDRuk5N-3PM,442,12,0,🎉🎉 superb,0.0,0.174,0.8260000000000001,0.8591000000000001
sDRuk5N-3PM,442,12,0,நேயர் விருப்பம் சார்...இதயம் ஒரு கோவில் Pls,0.0,0.794,0.206,0.0772
sDRuk5N-3PM,442,12,0,👌👌👌 அண்ணா அருமை,0.0,0.098,0.902,0.9545
sDRuk5N-3PM,442,12,0,👌👌👌👌,0.0,0.0,1.0,0.9736
sDRuk5N-3PM,442,12,0,Very nice song❤,0.0,0.291,0.709,0.807
sDRuk5N-3PM,442,12,0,Super na❤❤❤,0.0,0.195,0.805,0.9552
MmRu5FbDfTU,492,11,0,,,,,
i6ATvA6hK-M,471,28,0,Big salute to major mukund,0.0,1.0,0.0,0.0
abMGwagBEMw,58,8,0,,,,,
BeaWmv5q9wk,421,11,0,👌👌👌👌🎉,0.0,0.035,0.965,0.9782
BeaWmv5q9wk,421,11,0,அருமை அருமை வீடியோ,0.0,1.0,0.0,0.0
NBgh3eTlZzk,467,14,0,🎉🎉🎉🎉👌👌👌,0.0,0.12,0.88,0.9803
NBgh3eTlZzk,467,14,0,🎉🎉🎉🎉🎉🎉,0.0,0.27,0.73,0.9349
NBgh3eTlZzk,467,14,0,❤,0.0,0.192,0.808,0.6369
trBWAruhjjo,221,10,0,😂😂😂😂,0.218,0.345,0.437,0.891
trBWAruhjjo,221,10,0,👍👍👍🎉,0.0,0.722,0.278,0.4019
trBWAruhjjo,221,10,0,Akka 👑👑👑,0.0,1.0,0.0,0.0
trBWAruhjjo,221,10,0,👍👍👍,0.0,1.0,0.0,0.0
trBWAruhjjo,221,10,0,நாங்களும் மயிலாடுதுறை தான்🎉🎉🎉🎉🎉🎉🎉🎉,0.0,0.337,0.663,0.9618
rv2nKjKu4Ys,96,4,0,,,,,
oGXkgHmIyTo,92,5,0,,,,,
I4kGyPdcEXY,274,7,0,,,,,
01YbEEPWi8M,1318,22,0,👍👍👍👍,0.0,1.0,0.0,0.0
01YbEEPWi8M,1318,22,0,🙏🙏🙏,0.0,1.0,0.0,0.0
01YbEEPWi8M,1318,22,0,👍👍👍👍,0.0,1.0,0.0,0.0
c6i-GmPA2gs,422,13,0,😋😋😋😋😋,0.0,1.0,0.0,0.0
DW2QyK9D4zA,551,23,0,,,,,
R4GqDpCrRoY,111,14,0,Amma❤,0.0,0.323,0.677,0.6369
R4GqDpCrRoY,111,14,0,😊😊,0.0,0.333,0.667,0.9001
R4GqDpCrRoY,111,14,0,👍👍👍🌹🌹🌹 சூப்பரான பாடல்🌹🌹🌹👍🌹👍,0.0,1.0,0.0,0.0
VGx19suHCwU,2737,216,0,Nice 👍 sister,0.0,0.517,0.483,0.4215
VGx19suHCwU,2737,216,0,God iya,0.0,0.323,0.677,0.2732
VGx19suHCwU,2737,216,0,மாமனிதன்❤❤❤,0.0,0.241,0.759,0.9274
ojvzN-X0gms,499,15,0,😊,0.0,0.333,0.667,0.7184
