_id,video_id,viewCount,likeCount,dislikeCount
674b071d252cb0a46c229cc7,jXL79MyjuSs,420,8,0
674b071f252cb0a46c229cc8,cFj18KZ3hWA,471,16,0
674b0721252cb0a46c229cc9,F2-Ua8E1oPo,544,11,0
674b0722252cb0a46c229cca,igTbACiueNQ,560,9,0
674b0725252cb0a46c229ccb,mR2jivnUHBg,444,13,0
674b0728252cb0a46c229ccc,IP-KnpQeyzw,110,11,0
674b072a252cb0a46c229ccd,9gF3OSsZeAI,461,11,0
674b072c252cb0a46c229cce,9WEfcG2i7v0,136,12,0
674b072f252cb0a46c229ccf,9ShGty02yOc,70,7,0
674b0732252cb0a46c229cd0,Tww8udy7tKU,452,14,0
674b0734252cb0a46c229cd1,ml9rx4U14rQ,891,21,0
674b0735252cb0a46c229cd2,P13KYPOtOjw,81,12,0
674b0735252cb0a46c229cd3,IdwUwGUb5lc,140,11,0
674b0737252cb0a46c229cd4,5qWkKufgN64,163,16,0
674b0738252cb0a46c229cd5,nn-MqLFyszA,455,15,0
674b0739252cb0a46c229cd6,7Jb1N0_AJu0,149,10,0
674b073a252cb0a46c229cd7,af-Us-7vDJQ,7720,154,0
674b073b252cb0a46c229cd8,540wfhaZBFE,610,22,0
674b073c252cb0a46c229cd9,fXAvT9-jUAY,74,5,0
674b073d252cb0a46c229cda,9yB3cKR6NE0,415,15,0
674b073e252cb0a46c229cdb,vLqAohHcUZQ,2550,25,0
674b073f252cb0a46c229cdc,UBi5S2fSNw0,177,7,0
674b0740252cb0a46c229cdd,3j1g8EXb-a8,72,10,0
674b0741252cb0a46c229cde,I6vTDZCe28o,553,18,0
674b0741252cb0a46c229cdf,25yXh7_2EOc,1016,19,0
674b0742252cb0a46c229ce0,i0AufSGLSxo,22,1,0
674b0743252cb0a46c229ce1,ivjLzCqIcNM,59,5,0
674b0744252cb0a46c229ce2,ekiGn947x64,92,0,0
674b0745252cb0a46c229ce3,C7G4ubhuGUw,175,7,0
674b0746252cb0a46c229ce4,MqMuZ0z9qw4,427,9,0
674b0749252cb0a46c229ce5,fh9Lm3V9ZeQ,480,10,0
674b074b252cb0a46c229ce6,Is3lgeNuFHU,72,3,0
674b074e252cb0a46c229ce7,jUFTu8afG8s,418,14,0
674b0751252cb0a46c229ce8,jfLfVvEyRGQ,43,1,0
674b0753252cb0a46c229ce9,FtW5yPlK950,5,2,0
674b0755252cb0a46c229cea,9jfsxvxkNl0,10,1,0
674b0757252cb0a46c229ceb,_l4p1fKxKgA,6,1,0
674b0759252cb0a46c229cec,Zb1yOwLF8IU,110,2,0
674b075b252cb0a46c229ced,pRWg7Oe-eI0,12,1,0
674b075f252cb0a46c229cee,lN68U-eHZDI,131,7,0
674b0764252cb0a46c229cef,D4H3HzQTBj0,134,9,0
674b0766252cb0a46c229cf0,PAoBxuhNrwg,120,3,0
674b0769252cb0a46c229cf1,jZBMx0M97yY,688,20,0
674b076b252cb0a46c229cf2,45F1ZvoqyBQ,203,10,0
674b076e252cb0a46c229cf3,d81lvbcu_lE,434,11,0
674b076f252cb0a46c229cf4,bAI4KHWRAps,1019,25,0
674b0770252cb0a46c229cf5,ao5p7qf0e_Y,105,7,0
674b0772252cb0a46c229cf6,XzVh-UwOOg0,103,7,0
674b0776252cb0a46c229cf7,Al7FnL9Ouh4,36,4,0
674b0777252cb0a46c229cf8,a3x7M5PxvsM,451,13,0
674b07a4252cb0a46c229cf9,tLFaXZGPUxs,397,12,0
674b07a6252cb0a46c229cfa,JONkCXfJgI4,603,15,0
674b07a7252cb0a46c229cfb,lRFTrINTLL0,496,21,0
674b07a8252cb0a46c229cfc,pItHKEN5h5Q,159,16,0
674b07ad252cb0a46c229cfd,4dWSQq6M__0,52,4,0
674b07b3252cb0a46c229cfe,NAbV0yzPYo4,37,0,0
674b07b8252cb0a46c229cff,PQqA2lViDD4,442,16,0
674b07b9252cb0a46c229d00,SF-q5HoGTjg,491,16,0
674b07bc252cb0a46c229d01,WSEoPfDY5dU,2094,31,0
674b07bd252cb0a46c229d02,jn5QORD-SwU,691,13,0
674b07be252cb0a46c229d03,K8PXvbRwj8w,407,26,0
674b07bf252cb0a46c229d04,oV_fmDwXMJo,99,9,0
674b07c0252cb0a46c229d05,pO2fFUew5_I,346,12,0
674b07c1252cb0a46c229d06,lgpMbFzVt4Y,43,3,0
674b0ef6248c7e790a122f45,43JAuYBwh7I,5,2,0
674b0efa248c7e790a122f46,C4Lr7XHXS80,453,7,0
674b0efc248c7e790a122f47,1EGeHe9ZWkQ,22,1,0
674b0efe248c7e790a122f48,WtL0I6N6Hgc,423,81,0
674b0eff248c7e790a122f49,F72aRAQtZbM,87,10,0
674b0f00248c7e790a122f4a,a-U-SCybsis,494,9,0
674b0f02248c7e790a122f4b,G8vK4UJzz3g,434,8,0
674b0f03248c7e790a122f4c,_i5E7HgCXyk,532,10,0
674b0f04248c7e790a122f4d,HrlzXUCSmtk,503,10,0
674b0f05248c7e790a122f4e,X5SNTiX5Mfw,510,10,0
674b0f06248c7e790a122f4f,FqU7aa6EK3c,18,4,0
674b0f07248c7e790a122f50,HbXs3IJgZIA,458,21,0
674b0f08248c7e790a122f51,eiOvZ9gzWnQ,226,4,0
674b0f09248c7e790a122f52,oiH-B_5vojU,418,29,0
674b0f0b248c7e790a122f53,Yif3TL9hio8,481,8,0
674b0f0d248c7e790a122f54,DXpdtQ9AEtg,492,9,0
674b0f0e248c7e790a122f55,6s8q_Cyd_MY,732,17,0
674b0f0f248c7e790a122f56,Aew1z9CeFRk,31,6,0
674b0f12248c7e790a122f57,5705MIDj2tY,448,19,0
674b0f14248c7e790a122f58,c3wbDOVBZx8,450,22,0
674b0f15248c7e790a122f59,jFnxrv6X6oo,574,15,0
674b0f16248c7e790a122f5a,24ax-LT6MKA,417,11,0
674b0f17248c7e790a122f5b,LlQzdOnWfi4,551,23,0
674b0f19248c7e790a122f5c,tbu-okzLCrU,579,18,0
674b0f1a248c7e790a122f5d,PHaoK4AzIek,3122,232,0
674b0f1b248c7e790a122f5e,oSb7MdI2tEY,599,11,0
674b0f1c248c7e790a122f5f,TDyuhD7poJg,622,9,0
674b0f1d248c7e790a122f60,08qinj4Nf7Y,49,7,0
674b0f1f248c7e790a122f61,6KH45xsuqfU,108,4,0
674b0f20248c7e790a122f62,TMA9J5I_szQ,3462,70,0
674b0f21248c7e790a122f63,LHZBK4S5gPw,958,24,0
674b0f23248c7e790a122f64,gJWJo2IgLLw,411,18,0
674b0f25248c7e790a122f65,B45EyXYyMW4,464,53,0
674b0f27248c7e790a122f66,Iu_2MIDnk2Q,2440,21,0
674b0f27248c7e790a122f67,rmrWnvcBCLA,1080,15,0
674b0f29248c7e790a122f68,YxBxkrMb-bY,548,29,0
674b0f2b248c7e790a122f69,GuibyrVDkvA,10226,531,0
674b0f2d248c7e790a122f6a,dQQYwFSLmrY,133,12,0
674b0f2f248c7e790a122f6b,YzH7-heURM8,472,13,0
674b0f30248c7e790a122f6c,bUjWDkWKJzM,1056,16,0
674b0f31248c7e790a122f6d,-ee96M0nqJ0,407,14,0
674b0f32248c7e790a122f6e,qiHVsfIIuvo,145,5,0
674b0f33248c7e790a122f6f,qmn5KV4TGQI,209,6,0
674b0f34248c7e790a122f70,4ohZoB2ZYnI,614,21,0
674b0f35248c7e790a122f71,8W-M324B5TE,430,19,0
674b0f35248c7e790a122f72,tpz9CnN3HXU,501,15,0
674b0f36248c7e790a122f73,WL6nhzLAiHI,109,8,0
674b0f37248c7e790a122f74,Q4B1s4E7080,1480,114,0
674b0f38248c7e790a122f75,XrwyXH-v-pE,51,8,0
674b0f39248c7e790a122f76,Ax-S-6yhMIg,484,17,0
674b0f3a248c7e790a122f77,OjyaxvAoPjc,8721,467,0
674b0f3b248c7e790a122f78,rwd-1mcJsKk,606,10,0
674b0f3c248c7e790a122f79,QSzi-n5YDIQ,445,19,0
674b0f3d248c7e790a122f7a,1lzesoShhok,421,15,0
674b0f40248c7e790a122f7b,sDRuk5N-3PM,442,12,0
674b0f41248c7e790a122f7c,MmRu5FbDfTU,492,11,0
674b0f42248c7e790a122f7d,i6ATvA6hK-M,471,28,0
674b0f43248c7e790a122f7e,abMGwagBEMw,58,8,0
674b0f44248c7e790a122f7f,BeaWmv5q9wk,421,11,0
