video_id,viewCount,likeCount,dislikeCount,comment,neg,neu,pos,compound,title,duration
5CAJKf0kz8M,446,17,0,nice voice🎉,0.0,0.267,0.733,0.6705,Poomalai oru pavaiyanathu,0:27
5CAJKf0kz8M,446,17,0,😊😊😊❤❤❤,0.0,0.282,0.718,0.9843,Poomalai oru pavaiyanathu,0:27
5CAJKf0kz8M,446,17,0,அண்ணா உங்கள் திறமை மிகவும் சிறப்பாக உள்ளது 👌👌👌,0.0,0.246,0.754,0.9545,Poomalai oru pavaiyanathu,0:27
5CAJKf0kz8M,446,17,0,👌👌,0.0,0.0,1.0,0.9055,Poomalai oru pavaiyanathu,0:27
5CAJKf0kz8M,446,17,0,🥰🥰👍👍👌👌🎉🎉🎉,0.0,0.271,0.729,0.9872,Poomalai oru pavaiyanathu,0:27
ldiMT89o4ko,72,1,0,,,,,,Highlight 10:58  15:57 from Mushroom  biriyani sapidalam vanga friends,5:00
70vKmo4H0q0,398,12,0,Super song,0.0,0.204,0.796,0.5994,,0:12
maZvZFtTjBo,493,16,0,Super pathivu❤❤❤,0.0,0.195,0.805,0.9552,Peacock,0:38
maZvZFtTjBo,493,16,0,🦚🦚🦚🦚🦚🦚👌,0.0,0.495,0.505,0.7297,Peacock,0:38
yEaYg69qxcQ,1014,15,0,Super 🎉 song 🎵👌👌,0.0,0.175,0.8250000000000001,0.9576,nee potu vecha,0:13
yEaYg69qxcQ,1014,15,0,🎉🎉🎉❤❤❤,0.0,0.225,0.775,0.967,nee potu vecha,0:13
yEaYg69qxcQ,1014,15,0,🎉🎉🎉🎉🎉🎉,0.0,0.27,0.73,0.9349,nee potu vecha,0:13
yB2qzN-3ge8,166,7,0,,,,,,Advance happy Diwali to all friends,41:03
jsfyWn4VRWg,100,0,0,,,,,,Advance happy Diwali friends,11:35
CpEq2SygrCs,68,2,0,,,,,,Good morning friends,78:16
EhUG0ti29jw,52,2,0,,,,,,"Good morning friends, silent live",30:01
_SaM4CFoYuU,501,14,0,💯👍👍👍,0.0,1.0,0.0,0.0,,0:38
_SaM4CFoYuU,501,14,0,👌👌👌👌👍,0.0,0.075,0.925,0.9736,,0:38
_SaM4CFoYuU,501,14,0,Super ❤❤❤✨👌👌👌,0.0,0.075,0.925,0.9892,,0:38
_SaM4CFoYuU,501,14,0,👌👌👌🎉,0.0,0.045,0.955,0.9643,,0:38
_SaM4CFoYuU,501,14,0,Your great akkaa,0.0,0.328,0.672,0.6249,,0:38
jXL79MyjuSs,420,8,0,Super.. 😅❤❤❤❤,0.0,0.232,0.768,0.9756,masala roast sapidalam vanga,0:49
jXL79MyjuSs,420,8,0,👍👍,0.0,1.0,0.0,0.0,masala roast sapidalam vanga,0:49
jXL79MyjuSs,420,8,0,👌👌👌👌👌😋😋😋😋,0.0,0.281,0.719,0.9829,masala roast sapidalam vanga,0:49
jXL79MyjuSs,420,8,0,😢😢😢😢😢😢😢,0.756,0.244,0.0,-0.967,masala roast sapidalam vanga,0:49
jXL79MyjuSs,420,8,0,😋😋😋👍❤,0.0,0.741,0.259,0.6369,masala roast sapidalam vanga,0:49
cFj18KZ3hWA,471,16,0,அருமை அருமை😂😂😂,0.203,0.391,0.406,0.8271000000000001,",",0:11
cFj18KZ3hWA,471,16,0,😆😆👌😋😋😋,0.0,0.539,0.461,0.8788,",",0:11
cFj18KZ3hWA,471,16,0,😂😂,0.218,0.345,0.437,0.7003,",",0:11
cFj18KZ3hWA,471,16,0,😋😋😋,0.0,1.0,0.0,0.0,",",0:11
F2-Ua8E1oPo,544,11,0,👌👌👌💕💕💕❤,0.0,0.101,0.899,0.9887,pollachi road,0:31
F2-Ua8E1oPo,544,11,0,அருமை 👌👌👌,0.0,0.052,0.948,0.9545,pollachi road,0:31
igTbACiueNQ,560,9,0,👍👍👍👌😋,0.0,0.595,0.405,0.7297,benefits of kothavarangai  beans    poriyal  tips,0:19
igTbACiueNQ,560,9,0,👌👌👌,0.0,0.0,1.0,0.9545,benefits of kothavarangai  beans    poriyal  tips,0:19
mR2jivnUHBg,444,13,0,😋😋😋😆👍,0.0,0.839,0.161,0.3612,hai nanba,0:12
mR2jivnUHBg,444,13,0,😋😋😋,0.0,1.0,0.0,0.0,hai nanba,0:12
IP-KnpQeyzw,110,11,0,👌👌👌👍❤❤❤🙏,0.0,0.184,0.8160000000000001,0.9849,cleaning,0:14
IP-KnpQeyzw,110,11,0,💯👍👍👍,0.0,1.0,0.0,0.0,cleaning,0:14
IP-KnpQeyzw,110,11,0,😔😔😔👌👌👌🎉,0.0,0.138,0.862,0.9682,cleaning,0:14
IP-KnpQeyzw,110,11,0,கடினம் என்பது சிறிய கல் அதை எட்டி உதைத்து விட்டு செல்ல வேண்டும் சிஸ்டர்,0.0,1.0,0.0,0.0,cleaning,0:14
IP-KnpQeyzw,110,11,0,My akka❤❤❤❤,0.0,0.263,0.737,0.9571,cleaning,0:14
9gF3OSsZeAI,461,11,0,🥰🥰👌,0.0,0.224,0.776,0.9671,trending comedy,0:15
9gF3OSsZeAI,461,11,0,😂😂😂😝😝😝👌👌👌👍,0.097,0.393,0.509,0.9779,trending comedy,0:15
9gF3OSsZeAI,461,11,0,😋😋😋,0.0,1.0,0.0,0.0,trending comedy,0:15
9gF3OSsZeAI,461,11,0,Whatsapp number soniga yapati nu theryalla,0.0,0.794,0.206,0.0772,trending comedy,0:15
9WEfcG2i7v0,136,12,0,,,,,,Good night friends,73:37
9ShGty02yOc,70,7,0,,,,,,Good evening friends,32:42
Tww8udy7tKU,452,14,0,👍👍👍👍,0.0,1.0,0.0,0.0,natural mehandi  leaves,0:26
Tww8udy7tKU,452,14,0,🙏🙏,0.0,1.0,0.0,0.0,natural mehandi  leaves,0:26
Tww8udy7tKU,452,14,0,நியூ பிரண்ட்ஸ் 👍,0.0,1.0,0.0,0.0,natural mehandi  leaves,0:26
Tww8udy7tKU,452,14,0,டாப் டக்கர் 🎉,0.0,0.526,0.474,0.4019,natural mehandi  leaves,0:26
Tww8udy7tKU,452,14,0,Super ❤,0.0,0.11,0.89,0.8442000000000001,natural mehandi  leaves,0:26
Tww8udy7tKU,452,14,0,❤❤❤❤❤❤,0.0,0.192,0.808,0.9803,natural mehandi  leaves,0:26
ml9rx4U14rQ,891,21,0,👍👍👍👌👌👌👌👌👌,0.0,0.14,0.86,0.988,,0:16
ml9rx4U14rQ,891,21,0,👍👍👍,0.0,1.0,0.0,0.0,,0:16
ml9rx4U14rQ,891,21,0,❤️❤️❤️❤️,0.0,1.0,0.0,0.0,,0:16
ml9rx4U14rQ,891,21,0,Vanakkam 🙏,0.0,1.0,0.0,0.0,,0:16
ml9rx4U14rQ,891,21,0,🎉,0.0,0.27,0.73,0.4019,,0:16
P13KYPOtOjw,81,12,0,Sub done,0.0,1.0,0.0,0.0,Good morning friends  happy Sunday,120:39
IdwUwGUb5lc,140,11,0,Akka live podunga 😂😂😂😂😂😂😂😂,0.209,0.372,0.419,0.969,,62:24
IdwUwGUb5lc,140,11,0,Ean akka live varala,0.0,1.0,0.0,0.0,,62:24
5qWkKufgN64,163,16,0,♥️♥️♥️,0.0,0.192,0.808,0.9274,malayil yaro,0:47
5qWkKufgN64,163,16,0,Super 🎉🎉🎉,0.0,0.2,0.8,0.9001,malayil yaro,0:47
5qWkKufgN64,163,16,0,❤❤❤❤❤🎉🎉🎉🎉🎉🎉,0.0,0.228,0.772,0.9892,malayil yaro,0:47
